
--------------- INIT POSTPROCESSING MODEL ----------------

/leonardo/home/userexternal/mdasilva/leonardo_work/EUR-11/NoTo-EUR

1. Convert to sigma to pressure
Rotating vectors in EUR-11_ATM.2006060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009120100_pressure.nc.....

/leonardo/home/userexternal/mdasilva/leonardo_work/EUR-11/WSM7-EUR

1. Convert to sigma to pressure
Rotating vectors in EUR-11_ATM.2000010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2000120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2001120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2002120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2003120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2004120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2005120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2006120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2007120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2008120100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009010100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009020100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009030100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009040100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009050100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009060100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009070100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009080100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009090100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009100100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009110100_pressure.nc.....
Rotating vectors in EUR-11_ATM.2009120100_pressure.nc.....

--------------- THE END POSTPROCESSING MODEL ----------------
